RecordId,ORDER_ID,CUSTOMER_ID,ORDER_DATE,STATUS,CURRENCY_CODE,CREATED_TS,RecordId_SRC_ORDER_LINES,LINE_ID,PRODUCT_ID,QTY,LINE_AMOUNT,CREATED_TS_SRC_ORDER_LINES,RecordId_SRC_CUSTOMERS,CUSTOMER_NAME,REGION_CODE,STATUS_SRC_CUSTOMERS,CREATED_TS_SRC_CUSTOMERS,RecordId_SRC_PRODUCTS,PRODUCT_NAME,CATEGORY,PRICE,CREATED_TS_SRC_PRODUCTS,RecordId_REF_REGION,REGION_NAME,RecordId_REF_CURRENCY,CURRENCY_NAME,RecordId_SRC_PAYMENTS,PAYMENT_ID,AMOUNT,PAYMENT_STATUS,CREATED_TS_SRC_PAYMENTS
1,O0,CUST47104,2022-04-13,ACTIVE,C39671,2025-12-11,1,L0,P2017,2,1617.7,2022-04-20,1,Customer_0,R3355,ACTIVE,2021-10-08,1,Product_0,D,714.78,2020-08-03,1,Region_0,1,Currency_0,1,PAY0,483.38,FAILED,2023-06-16
2,O1,CUST171329,2021-08-15,CANCELLED,C39176,2021-09-29,2,L1,P38216,17,726.46,2023-08-10,2,Customer_1,R8365,INACTIVE,2022-02-06,2,Product_1,D,365.77,2021-01-19,2,Region_1,2,Currency_1,2,PAY1,1232.2,FAILED,2024-06-18
3,O2,CUST7465,2023-03-25,CANCELLED,C6387,2025-06-27,3,L2,P31522,7,478.18,2022-09-26,3,Customer_2,R22946,ACTIVE,2020-02-24,3,Product_2,C,166.89,2025-05-19,3,Region_2,3,Currency_2,3,PAY2,2157.28,PAID,2022-02-26
4,O3,CUST2174,2022-12-27,ACTIVE,C20356,2023-10-06,4,L3,P23775,6,1252.42,2021-08-18,4,Customer_3,R6891,ACTIVE,2021-04-18,4,Product_3,C,899.62,2022-06-03,4,Region_3,4,Currency_3,4,PAY3,4706.29,PAID,2022-10-02
5,O4,CUST130241,2021-07-12,CANCELLED,C48900,2021-01-09,5,L4,P55672,17,1313.07,2020-12-03,5,Customer_4,R21876,INACTIVE,2021-03-19,5,Product_4,A,704.48,2022-02-02,5,Region_4,5,Currency_4,5,PAY4,1783.13,PAID,2022-09-13
6,O5,CUST157087,2024-04-04,RETURNED,C40705,2021-03-29,6,L5,P24892,15,8468.91,2023-06-23,6,Customer_5,R4073,ACTIVE,2022-10-08,6,Product_5,A,803.16,2020-04-17,6,Region_5,6,Currency_5,6,PAY5,3653.95,FAILED,2025-02-26
7,O6,CUST131047,2020-11-30,ACTIVE,C17491,2022-04-26,7,L6,P91106,17,7491.82,2022-10-21,7,Customer_6,R30379,ACTIVE,2024-11-08,7,Product_6,D,164.05,2024-03-09,7,Region_6,7,Currency_6,7,PAY6,1341.28,PAID,2023-02-18
8,O7,CUST183062,2020-12-10,CANCELLED,C15425,2025-08-15,8,L7,P56574,6,4852.72,2021-09-28,8,Customer_7,R24500,ACTIVE,2022-01-25,8,Product_7,D,541.87,2024-04-23,8,Region_7,8,Currency_7,8,PAY7,2295.13,FAILED,2020-07-20
9,O8,CUST129047,2020-01-29,ACTIVE,C16361,2022-08-22,9,L8,P65209,14,7928.43,2020-05-06,9,Customer_8,R24950,ACTIVE,2020-11-18,9,Product_8,A,227.11,2025-04-09,9,Region_8,9,Currency_8,9,PAY8,94.45,PENDING,2020-12-17
10,O9,CUST147346,2023-07-04,ACTIVE,C33847,2022-06-11,10,L9,P65663,6,2330.89,2021-06-07,10,Customer_9,R19407,ACTIVE,2023-11-06,10,Product_9,C,197.73,2022-11-07,10,Region_9,10,Currency_9,10,PAY9,1224.58,PAID,2020-10-26
11,O10,CUST82605,2024-10-21,ACTIVE,C16933,2021-05-19,11,L10,P13207,11,1578.67,2021-09-16,11,Customer_10,R1579,ACTIVE,2020-04-26,11,Product_10,A,376.34,2021-02-23,11,Region_10,11,Currency_10,11,PAY10,180.74,PENDING,2024-08-30
12,O11,CUST24912,2020-01-28,RETURNED,C41314,2023-10-22,12,L11,P96389,7,767.21,2022-02-16,12,Customer_11,R19652,TEST,2022-03-25,12,Product_11,C,916.06,2024-11-27,12,Region_11,12,Currency_11,12,PAY11,4110.06,PENDING,2024-05-04
13,O12,CUST146298,2025-04-20,CANCELLED,C36207,2023-04-21,13,L12,P47551,13,9033.13,2023-08-11,13,Customer_12,R12695,ACTIVE,2025-02-10,13,Product_12,D,21.26,2023-08-09,13,Region_12,13,Currency_12,13,PAY12,256.0,FAILED,2022-06-05
14,O13,CUST171007,2023-09-23,CANCELLED,C27384,2025-02-19,14,L13,P7854,7,2681.46,2021-12-07,14,Customer_13,R8762,ACTIVE,2022-10-08,14,Product_13,A,332.79,2025-11-10,14,Region_13,14,Currency_13,14,PAY13,122.9,PENDING,2025-07-07
15,O14,CUST8033,2022-04-25,ACTIVE,C2948,2023-11-11,15,L14,P59279,13,3354.85,2025-07-28,15,Customer_14,R18839,ACTIVE,2021-05-12,15,Product_14,A,77.44,2023-06-22,15,Region_14,15,Currency_14,15,PAY14,214.84,PAID,2023-02-19
16,O15,CUST159989,2023-09-28,CANCELLED,C3846,2025-08-01,16,L15,P82804,15,3589.11,2021-01-03,16,Customer_15,R31941,ACTIVE,2021-02-12,16,Product_15,B,126.88,2023-08-15,16,Region_15,16,Currency_15,16,PAY15,4653.05,PENDING,2025-12-22
17,O16,CUST196964,2024-08-09,CANCELLED,C21546,2020-05-23,17,L16,P74594,15,7851.07,2022-02-28,17,Customer_16,R31734,ACTIVE,2022-02-23,17,Product_16,D,555.55,2025-10-16,17,Region_16,17,Currency_16,17,PAY16,1470.7,FAILED,2024-08-09
18,O17,CUST67261,2024-08-27,CANCELLED,C24857,2024-10-26,18,L17,P6552,6,5293.27,2022-06-23,18,Customer_17,R16824,ACTIVE,2020-07-29,18,Product_17,D,714.92,2020-12-19,18,Region_17,18,Currency_17,18,PAY17,3229.45,PENDING,2025-09-10
19,O18,CUST45121,2024-04-12,RETURNED,C45480,2021-06-06,19,L18,P18509,6,4188.96,2023-06-05,19,Customer_18,R49319,ACTIVE,2023-09-04,19,Product_18,A,415.59,2021-12-14,19,Region_18,19,Currency_18,19,PAY18,2779.19,PAID,2021-02-06
20,O19,CUST146963,2021-02-03,RETURNED,C24334,2020-01-04,20,L19,P32463,16,4604.05,2022-12-16,20,Customer_19,R13761,ACTIVE,2024-07-31,20,Product_19,D,519.38,2020-02-13,20,Region_19,20,Currency_19,20,PAY19,3604.47,PENDING,2023-07-03
21,O20,CUST74052,2024-10-04,ACTIVE,C5819,2024-08-16,21,L20,P24412,2,310.21,2025-10-07,21,Customer_20,R1302,INACTIVE,2025-12-26,21,Product_20,B,175.35,2021-10-31,21,Region_20,21,Currency_20,21,PAY20,3801.74,FAILED,2021-09-29
22,O21,CUST69331,2022-03-11,ACTIVE,C531,2020-08-21,22,L21,P93395,12,1627.67,2020-02-07,22,Customer_21,R46938,ACTIVE,2025-10-17,22,Product_21,D,239.54,2020-05-23,22,Region_21,22,Currency_21,22,PAY21,3985.7,PENDING,2021-10-20
23,O22,CUST51625,2025-09-07,CANCELLED,C6836,2025-10-30,23,L22,P75949,1,61.62,2025-09-25,23,Customer_22,R19866,ACTIVE,2020-09-17,23,Product_22,D,778.41,2023-08-13,23,Region_22,23,Currency_22,23,PAY22,1068.74,PENDING,2024-10-24
24,O23,CUST152825,2024-04-26,CANCELLED,C4511,2025-05-27,24,L23,P11982,11,7046.38,2022-12-13,24,Customer_23,R34206,TEST,2021-10-29,24,Product_23,A,421.56,2025-12-31,24,Region_23,24,Currency_23,24,PAY23,1869.51,PAID,2025-07-11
25,O24,CUST159159,2024-05-14,RETURNED,C23151,2025-04-05,25,L24,P4164,6,5223.78,2020-08-24,25,Customer_24,R5851,TEST,2024-11-23,25,Product_24,D,505.12,2024-03-22,25,Region_24,25,Currency_24,25,PAY24,4392.08,PAID,2024-06-09
26,O25,CUST144150,2025-07-06,RETURNED,C17835,2020-04-18,26,L25,P70286,3,41.37,2020-01-04,26,Customer_25,R33953,ACTIVE,2023-12-10,26,Product_25,C,943.4,2024-05-11,26,Region_25,26,Currency_25,26,PAY25,1201.73,PAID,2021-01-31
27,O26,CUST191171,2025-05-21,ACTIVE,C24765,2025-05-26,27,L26,P9974,7,4840.55,2023-11-17,27,Customer_26,R17248,ACTIVE,2025-09-09,27,Product_26,B,903.71,2022-08-03,27,Region_26,27,Currency_26,27,PAY26,238.32,PAID,2020-02-17
28,O27,CUST87373,2021-11-12,RETURNED,C47712,2024-12-21,28,L27,P63421,14,10524.09,2020-02-03,28,Customer_27,R20452,ACTIVE,2021-03-28,28,Product_27,A,976.44,2025-11-14,28,Region_27,28,Currency_27,28,PAY27,3315.99,PENDING,2022-11-07
29,O28,CUST67723,2021-12-10,RETURNED,C19223,2023-03-18,29,L28,P34342,3,943.29,2025-07-08,29,Customer_28,R4653,ACTIVE,2020-07-28,29,Product_28,D,959.09,2021-10-12,29,Region_28,29,Currency_28,29,PAY28,2104.67,FAILED,2022-10-29
30,O29,CUST119982,2022-06-04,CANCELLED,C12900,2020-06-09,30,L29,P58533,11,4735.01,2020-06-18,30,Customer_29,R44311,ACTIVE,2024-06-01,30,Product_29,D,500.26,2025-09-21,30,Region_29,30,Currency_29,31,PAY30,4847.56,PENDING,2024-04-14
31,O30,CUST147484,2025-12-26,ACTIVE,C48836,2020-01-25,31,L30,P25705,4,869.48,2022-11-12,31,Customer_30,R14097,ACTIVE,2022-10-29,31,Product_30,D,299.0,2025-07-27,31,Region_30,31,Currency_30,32,PAY31,3501.78,FAILED,2024-12-02
32,O31,CUST110178,2024-10-16,ACTIVE,C9904,2024-07-21,32,L31,P5174,11,3419.08,2024-01-06,32,Customer_31,R47095,ACTIVE,2025-07-07,32,Product_31,C,228.8,2023-07-19,32,Region_31,32,Currency_31,33,PAY32,4802.51,PAID,2024-04-17
33,O32,CUST51915,2021-08-20,CANCELLED,C26375,2021-12-17,33,L32,P71780,11,8070.79,2025-07-23,33,Customer_32,R2294,INACTIVE,2025-07-08,33,Product_32,A,971.58,2024-05-29,33,Region_32,33,Currency_32,34,PAY33,1495.29,PAID,2021-04-29
34,O33,CUST172396,2025-07-24,CANCELLED,C44784,2023-02-08,34,L33,P37205,13,10353.14,2023-11-03,34,Customer_33,R45041,ACTIVE,2020-06-03,34,Product_33,B,69.91,2023-07-01,34,Region_33,34,Currency_33,35,PAY34,3910.57,PENDING,2022-09-11
35,O34,CUST35483,2023-05-01,ACTIVE,C14037,2024-07-24,35,L34,P63922,1,884.57,2023-05-14,35,Customer_34,R9465,INACTIVE,2022-05-04,35,Product_34,A,765.46,2020-10-25,35,Region_34,35,Currency_34,36,PAY35,2483.1,FAILED,2025-03-08
36,O35,CUST40376,2021-09-21,CANCELLED,C40075,2024-06-08,36,L35,P39237,13,1473.9,2023-07-26,36,Customer_35,R32208,ACTIVE,2025-01-13,36,Product_35,B,708.48,2020-04-06,36,Region_35,36,Currency_35,37,PAY36,694.41,FAILED,2023-12-09
37,O36,CUST172489,2020-08-02,RETURNED,C41987,2021-08-24,37,L36,P12163,8,7856.76,2024-04-30,37,Customer_36,R23398,ACTIVE,2024-01-16,37,Product_36,D,553.21,2022-07-19,37,Region_36,37,Currency_36,38,PAY37,1934.54,PAID,2025-11-16
38,O37,CUST172245,2025-09-03,RETURNED,C28146,2020-10-26,38,L37,P45596,19,18419.46,2023-08-16,38,Customer_37,R6348,ACTIVE,2025-01-06,38,Product_37,A,437.56,2022-04-11,38,Region_37,38,Currency_37,39,PAY38,2437.71,FAILED,2020-02-29
39,O38,CUST73753,2021-08-28,ACTIVE,C1131,2022-12-31,39,L38,P92614,19,14810.25,2025-03-21,39,Customer_38,R2571,ACTIVE,2020-09-06,39,Product_38,A,872.37,2021-09-20,39,Region_38,39,Currency_38,40,PAY39,625.61,PENDING,2022-08-13
40,O39,CUST90918,2020-11-17,CANCELLED,C40500,2024-01-10,40,L39,P28537,10,2790.22,2024-09-16,40,Customer_39,R34025,ACTIVE,2020-08-27,40,Product_39,D,456.29,2025-07-30,40,Region_39,40,Currency_39,41,PAY40,1072.74,FAILED,2024-11-11
41,O40,CUST152895,2024-08-24,ACTIVE,C265,2022-08-09,41,L40,P30853,15,10839.22,2021-07-28,41,Customer_40,R343,ACTIVE,2021-12-21,41,Product_40,D,43.02,2022-02-11,41,Region_40,41,Currency_40,42,PAY41,902.38,FAILED,2020-06-10
42,O41,CUST23510,2023-06-18,CANCELLED,C36150,2022-04-09,42,L41,P83985,4,3234.76,2021-05-09,42,Customer_41,R6670,ACTIVE,2022-06-11,42,Product_41,B,704.69,2022-11-11,42,Region_41,42,Currency_41,43,PAY42,2468.28,PENDING,2023-10-28
43,O42,CUST79531,2024-06-22,RETURNED,C19825,2023-12-20,43,L42,P69362,14,4700.21,2021-03-17,43,Customer_42,R5527,ACTIVE,2021-01-20,43,Product_42,D,338.27,2025-02-21,43,Region_42,43,Currency_42,44,PAY43,3017.05,FAILED,2022-11-15
44,O43,CUST156923,2021-09-02,CANCELLED,C46710,2023-07-18,44,L43,P84242,16,5421.72,2022-09-16,44,Customer_43,R18022,TEST,2022-06-14,44,Product_43,B,898.8,2023-08-26,44,Region_43,44,Currency_43,45,PAY44,2553.64,PAID,2022-04-12
45,O44,CUST96680,2023-08-01,ACTIVE,C46524,2025-03-31,45,L44,P83531,14,11089.22,2021-12-02,45,Customer_44,R5836,ACTIVE,2024-12-29,45,Product_44,C,990.84,2020-08-14,45,Region_44,45,Currency_44,46,PAY45,2669.6,PAID,2023-11-27
46,O45,CUST11,2022-07-12,RETURNED,C45890,2025-07-01,46,L45,P50659,9,3178.6,2021-05-24,46,Customer_45,R18960,INACTIVE,2025-04-20,46,Product_45,B,239.64,2023-05-20,46,Region_45,46,Currency_45,47,PAY46,3241.05,PENDING,2020-10-30
47,O46,CUST106287,2022-11-19,RETURNED,C13434,2022-04-26,47,L46,P17160,12,3062.32,2024-03-06,47,Customer_46,R21367,TEST,2021-12-16,47,Product_46,C,869.26,2022-04-28,47,Region_46,47,Currency_46,48,PAY47,3811.75,PENDING,2022-12-27
48,O47,CUST30667,2024-02-14,RETURNED,C27540,2024-10-12,48,L47,P20663,16,6561.44,2023-03-30,48,Customer_47,R35528,ACTIVE,2025-06-16,48,Product_47,B,922.78,2022-10-27,48,Region_47,48,Currency_47,49,PAY48,3654.89,PENDING,2021-12-04
49,O48,CUST14985,2023-06-14,CANCELLED,C38656,2023-07-30,49,L48,P56258,17,8722.73,2024-06-05,49,Customer_48,R19608,ACTIVE,2023-02-13,49,Product_48,C,85.05,2020-10-01,49,Region_48,49,Currency_48,50,PAY49,4305.17,FAILED,2023-11-20
50,O49,CUST10762,2023-12-27,CANCELLED,C20606,2024-02-05,50,L49,P50358,13,1267.71,2021-08-20,50,Customer_49,R12588,INACTIVE,2025-04-07,50,Product_49,D,193.17,2022-05-13,50,Region_49,50,Currency_49,51,PAY50,2835.77,PAID,2025-06-14
