recordid,line_id,order_id,product_id,qty,line_amount,created_ts,variance
1,L0,O178717,P2017,2,1617.7,2022-04-20,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
2,L1,O23855,P38216,17,726.46,2023-08-10,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
3,L2,O601559,P31522,7,478.18,2022-09-26,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
4,L3,O547900,P23775,6,1252.42,2021-08-18,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
5,L4,O506031,P55672,17,1313.07,2020-12-03,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
6,L5,O883146,P24892,15,8468.91,2023-06-23,"LINE_ID=rare_value, ORDER_ID=rare_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
7,L6,O816225,P91106,17,7491.82,2022-10-21,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
8,L7,O446051,P56574,6,4852.72,2021-09-28,"LINE_ID=rare_value, ORDER_ID=rare_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
9,L8,O623016,P65209,14,7928.43,2020-05-06,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
10,L9,O66065,P65663,6,2330.89,2021-06-07,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
11,L10,O942475,P13207,11,1578.67,2021-09-16,"LINE_ID=rare_value, ORDER_ID=rare_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
12,L11,O527736,P96389,7,767.21,2022-02-16,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
13,L12,O218833,P47551,13,9033.13,2023-08-11,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
14,L13,O106755,P7854,7,2681.46,2021-12-07,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
15,L14,O531194,P59279,13,3354.85,2025-07-28,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
16,L15,O53949,P82804,15,3589.11,2021-01-03,"LINE_ID=rare_value, ORDER_ID=rare_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
17,L16,O970314,P74594,15,7851.07,2022-02-28,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
18,L17,O843220,P6552,6,5293.27,2022-06-23,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
19,L18,O287833,P18509,6,4188.96,2023-06-05,"LINE_ID=rare_value, ORDER_ID=rare_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
20,L19,O619039,P32463,16,4604.05,2022-12-16,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
21,L20,O74637,P24412,2,310.21,2025-10-07,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
22,L21,O505926,P93395,12,1627.67,2020-02-07,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
23,L22,O866438,P75949,1,61.62,2025-09-25,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
24,L23,O989887,P11982,11,7046.38,2022-12-13,"LINE_ID=rare_value, ORDER_ID=rare_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
25,L24,O631548,P4164,6,5223.78,2020-08-24,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
26,L25,O692923,P70286,3,41.37,2020-01-04,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
27,L26,O702205,P9974,7,4840.55,2023-11-17,"LINE_ID=rare_value, ORDER_ID=rare_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
28,L27,O232974,P63421,14,10524.09,2020-02-03,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
29,L28,O652543,P34342,3,943.29,2025-07-08,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
30,L29,O522225,P58533,11,4735.01,2020-06-18,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
31,L30,O903825,P25705,4,869.48,2022-11-12,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
32,L31,O114714,P5174,11,3419.08,2024-01-06,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
33,L32,O355517,P71780,11,8070.79,2025-07-23,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
34,L33,O338201,P37205,13,10353.14,2023-11-03,"LINE_ID=rare_value, ORDER_ID=rare_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
35,L34,O364403,P63922,1,884.57,2023-05-14,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
36,L35,O415879,P39237,13,1473.9,2023-07-26,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
37,L36,O606702,P12163,8,7856.76,2024-04-30,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
38,L37,O554174,P45596,19,18419.46,2023-08-16,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=outlier, CREATED_TS=common_value"
39,L38,O998600,P92614,19,14810.25,2025-03-21,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
40,L39,O798040,P28537,10,2790.22,2024-09-16,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
41,L40,O277340,P30853,15,10839.22,2021-07-28,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
42,L41,O349133,P83985,4,3234.76,2021-05-09,"LINE_ID=rare_value, ORDER_ID=rare_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
43,L42,O761819,P69362,14,4700.21,2021-03-17,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
44,L43,O906700,P84242,16,5421.72,2022-09-16,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
45,L44,O735362,P83531,14,11089.22,2021-12-02,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
46,L45,O494424,P50659,9,3178.6,2021-05-24,"LINE_ID=rare_value, ORDER_ID=rare_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
47,L46,O971436,P17160,12,3062.32,2024-03-06,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
48,L47,O634045,P20663,16,6561.44,2023-03-30,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
49,L48,O110045,P56258,17,8722.73,2024-06-05,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
50,L49,O386956,P50358,13,1267.71,2021-08-20,"LINE_ID=rare_value, ORDER_ID=common_value, PRODUCT_ID=common_value, QTY=positive, LINE_AMOUNT=positive, CREATED_TS=common_value"
