recordid,positionid,tradeid,asofdate,quantity,marketvalue,pnl,valuationmethod,price,created_ts,variance
24,POS000063492,TRD00659896,2026-03-21,6315,429795.44,-41468.71,MTM,380.3,2020-05-14 12:20:23,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
11,POS000037893,TRD00817295,2026-03-21,7493,2196.5,15463.19,MTM,414.02,2020-11-17 16:11:21,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
45,POS000097290,TRD00288964,2026-03-21,2513,82225.59,13337.25,MTM,200.81,2025-04-16 07:40:35,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
40,POS000087052,TRD00213761,2026-03-21,601,7352.51,-30492.79,MODEL,353.36,2020-11-24 15:26:55,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
44,POS000094480,TRD00984256,2026-03-21,4905,459636.22,-2037.07,MTM,428.63,2020-08-29 01:57:05,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
30,POS000070164,TRD00274960,2026-03-21,4743,126854.36,28790.58,MODEL,309.88,2023-11-01 05:49:29,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
39,POS000086933,TRD00299094,2026-03-21,5714,403841.52,29858.63,MODEL,255.69,2024-09-18 02:03:45,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
6,POS000026519,TRD00348271,2026-03-21,656,78994.71,-12143.86,MTM,211.04,2023-07-21 09:43:09,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
41,POS000087960,TRD00097975,2026-03-21,3959,463241.99,-15038.6,MTM,139.6,2025-10-27 18:17:04,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
46,POS000098328,TRD00608587,2026-03-21,2668,398281.59,38402.51,MODEL,195.34,2024-04-12 01:37:17,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
16,POS000045980,TRD00658440,2026-03-21,2414,264721.19,-29567.46,MTM,274.93,2022-04-05 05:20:14,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
3,POS000018973,TRD00203774,2026-03-21,6921,239314.31,-1468.56,MTM,345.57,2021-06-08 00:26:39,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
38,POS000086044,TRD00992628,2026-03-21,6613,473366.18,2557.47,MTM,283.68,2021-12-29 04:35:21,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
43,POS000091807,TRD00979387,2026-03-21,7825,345314.9,-1242.27,MODEL,389.79,2024-02-17 01:05:37,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
29,POS000069280,TRD00574176,2026-03-21,8177,473637.18,-38628.44,MTM,63.94,2024-08-11 00:38:35,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
2,POS000009252,TRD00899054,2026-03-21,2027,144337.72,29752.67,MODEL,198.33,2025-02-09 21:33:29,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
17,POS000046248,TRD00712981,2026-03-21,2535,167270.84,-13863.25,MTM,50.84,2023-07-23 15:33:01,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
14,POS000044457,TRD00985319,2026-03-21,674,83776.37,-22931.57,MTM,438.0,2023-07-20 15:50:41,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
15,POS000045225,TRD00924407,2026-03-21,2728,122799.88,-30425.45,MODEL,396.67,2021-07-21 06:22:47,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
23,POS000063272,TRD00451056,2026-03-21,9323,155005.1,28524.97,MODEL,54.62,2025-09-17 21:42:16,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
9,POS000031404,TRD00149136,2026-03-21,317,406967.07,-36330.87,MODEL,80.08,2023-06-12 13:14:33,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
1,POS000000304,TRD00834475,2026-03-21,3403,53280.93,-45059.35,MTM,183.72,2021-10-04 10:37:28,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
22,POS000063154,TRD00231540,2026-03-21,6855,278763.88,-14123.1,MTM,89.0,2025-06-27 23:31:46,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
42,POS000088246,TRD00039724,2026-03-21,3939,128129.67,-17253.52,MODEL,240.63,2025-10-23 04:45:46,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
4,POS000023481,TRD00636847,2026-03-21,9831,208378.92,2145.47,MTM,128.04,2025-04-23 23:45:56,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
34,POS000081466,TRD00410400,2026-03-21,6272,154436.11,47235.08,MODEL,261.21,2021-02-19 20:14:44,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
21,POS000058691,TRD00437085,2026-03-21,5076,481507.12,4358.46,MODEL,460.7,2024-04-17 17:12:50,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
33,POS000076743,TRD00782479,2026-03-21,7740,452692.33,30839.95,MTM,341.59,2026-01-10 05:45:11,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
35,POS000081865,TRD00119430,2026-03-21,1890,190455.52,-19891.37,MODEL,198.21,2020-03-15 11:13:01,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
20,POS000056266,TRD00465665,2026-03-21,9386,152331.95,28123.09,MODEL,90.23,2025-08-07 15:26:25,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
18,POS000051020,TRD00099844,2026-03-21,8018,285411.15,29671.96,MTM,181.49,2023-11-18 15:32:43,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
31,POS000070605,TRD00982715,2026-03-21,9557,244042.43,49916.66,MTM,194.48,2022-05-11 06:37:52,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
50,POS000111057,TRD00626203,2026-03-21,1809,37130.04,43903.39,MODEL,488.75,2023-02-17 10:28:12,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
10,POS000034260,TRD00729553,2026-03-21,2934,356607.16,-48382.89,MTM,451.19,2021-07-21 21:39:20,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
12,POS000040663,TRD00795479,2026-03-21,4030,451980.95,39945.57,MODEL,491.88,2021-06-02 20:02:10,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
37,POS000085336,TRD00253697,2026-03-21,1648,156266.81,579.78,MTM,14.61,2021-12-12 05:08:07,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
7,POS000029149,TRD00721268,2026-03-21,6329,211632.82,44608.15,MTM,351.06,2023-12-31 15:12:08,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
49,POS000107742,TRD00112009,2026-03-21,2780,90895.06,-17928.69,MTM,393.66,2023-09-09 06:06:51,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
5,POS000023775,TRD00271576,2026-03-21,7476,491898.71,-41306.97,MODEL,265.77,2022-03-18 11:27:09,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
36,POS000081898,TRD00456712,2026-03-21,8464,238931.81,6622.59,MODEL,138.63,2021-06-02 05:11:28,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
27,POS000068331,TRD00772523,2026-03-21,4965,329397.09,20523.69,MODEL,230.67,2025-06-09 17:41:10,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
32,POS000076395,TRD00097805,2026-03-21,9396,456842.58,-651.46,MTM,42.73,2024-07-17 20:04:50,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
26,POS000065517,TRD00368159,2026-03-21,4605,197757.36,-35296.62,MODEL,385.43,2023-12-17 05:44:57,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
47,POS000102396,TRD00222565,2026-03-21,7944,499033.26,39248.44,MODEL,344.28,2021-08-18 10:52:05,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
48,POS000106225,TRD00788131,2026-03-21,1783,445618.63,15506.48,MTM,468.57,2025-11-25 14:39:32,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
19,POS000053236,TRD00190697,2026-03-21,3912,386309.24,16897.87,MTM,288.29,2021-12-05 18:57:36,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
28,POS000068596,TRD00295908,2026-03-21,8889,303736.73,-25883.59,MODEL,278.5,2025-10-24 15:48:03,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
13,POS000040695,TRD00902958,2026-03-21,5764,27126.16,43544.92,MODEL,491.2,2022-09-19 03:51:44,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=positive, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
25,POS000065018,TRD00141127,2026-03-21,3686,408791.07,-17158.4,MTM,96.56,2025-08-04 02:28:19,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
8,POS000030204,TRD00674149,2026-03-21,2830,496764.03,-36028.2,MTM,98.91,2021-10-27 00:06:43,"PositionId=rare_value, TradeId=rare_value, AsOfDate=common_value, Quantity=positive, MarketValue=positive, PnL=negative, ValuationMethod=common_value, Price=positive, CREATED_TS=rare_value"
